Time,Plasma/ CSF/ ER Nicotine,Sequestered Nicotine,Fraction of Activated nAChR,Fraction of Chaperoned nAChR
0,0,0,0,0
0,0,0,0,0
3.98001100263025e-19,6.20881716410319e-16,7.62515813616179e-34,1.48266963758698e-32,1.48266963758701e-32
3.98040900373051e-15,6.20943804581901e-12,7.62592072822622e-26,1.48281791902323e-24,1.48281791936423e-24
4.3780519030033e-14,6.82976096867857e-11,8.4640094086331e-24,1.64577960330062e-22,1.64577960708875e-22
4.41781619293058e-13,6.89179326090522e-10,8.54857325029831e-22,1.66222253671437e-20,1.66222257497756e-20
4.42179262192331e-12,6.8979964897325e-09,6.01531780516888e-20,1.16964494085814e-18,1.16964512183324e-18
8.40180362455356e-12,1.31068136528473e-08,1.87230682201078e-19,3.64059576834762e-18,3.64059656766004e-18
1.53894829520407e-11,2.40075934005813e-08,5.91713406541655e-19,1.15055341394587e-17,1.15055383007356e-17
2.73822070448475e-11,4.27162429757242e-08,1.83058222627415e-18,3.55946315528587e-17,3.55946535548788e-17
4.81007987012422e-11,7.50372459303906e-08,5.59892161447484e-18,1.08867799513569e-16,1.08867915815365e-16
8.395119703918e-11,1.30963867248918e-07,1.69975074427753e-17,3.30506453735728e-16,3.3050706566639e-16
1.46027061957297e-10,2.27802216253899e-07,5.13622798453129e-17,9.98707667597971e-16,9.98710873868387e-16
2.53561526896463e-10,3.95555980754577e-07,1.54788078134868e-16,3.0097507888788e-15,3.00976754259585e-15
4.40059170180099e-10,6.8649230185543e-07,4.66140061032807e-16,9.0637436486679e-15,9.06383115956183e-15
7.65213053648293e-10,1.19373235272947e-06,1.40938913522099e-15,2.74043108258368e-14,2.74047710665137e-14
1.34577684844689e-09,2.0994118496729e-06,4.35915187826499e-15,8.47586789742687e-14,8.4761190090271e-14
2.34011422623662e-09,3.65057809041684e-06,1.31803339159691e-14,2.56270589431558e-13,2.56283764626186e-13
3.33445160402635e-09,5.20174429414499e-06,2.67608648289309e-14,5.20312082875375e-13,5.20348741637702e-13
4.32878898181608e-09,6.75291046085791e-06,4.51007464926251e-14,8.76877888728589e-13,8.76955961299902e-13
5.32312635960581e-09,8.30407659055614e-06,6.81999794527105e-14,1.32596256886089e-12,1.32610523267887e-12
7.62152197754156e-09,1.18895731976092e-05,1.39808601866894e-13,2.71807073011135e-12,2.71848469332068e-12
9.9199175954773e-09,1.54750696069041e-05,2.36846254291294e-13,4.60440809811244e-12,4.60530922394148e-12
1.22183132134131e-08,1.90605658184478e-05,3.59312935444775e-13,6.98490858232293e-12,6.98657635525083e-12
1.45167088313488e-08,2.26460618322475e-05,5.07208643838918e-13,9.85950222054304e-12,9.86228347051716e-12
1.82843514609211e-08,2.85235820212093e-05,8.04654421476826e-13,1.56403137556082e-11,1.56458457042591e-11
2.64489669124283e-08,4.12603752896516e-05,1.68371142952923e-12,3.27215060315723e-11,3.27381923209206e-11
4.0818209884986e-08,6.36763762372942e-05,4.01012657446336e-12,7.79111406781299e-11,7.7972332041481e-11
5.51874528575438e-08,8.60923694594115e-05,7.33045304665138e-12,1.4237961463936e-10,1.42530777157365e-10
6.95566958301015e-08,0.00010850835495774,1.16446904847381e-11,2.26110200065506e-10,2.26412900704165e-10
8.39259388026593e-08,0.000130924332734007,1.69528385288105e-11,3.29086267370635e-10,3.29618078772503e-10
9.8295181775217e-08,0.000153340302789932,2.32548968200077e-11,4.51291263124997e-10,4.52145689708643e-10
1.31775832940176e-07,0.000205569974538321,4.17947155723895e-11,8.10537616189698e-10,8.12595831097305e-10
1.65256484105135e-07,0.000257799604404034,6.57304687171116e-11,1.27387855808112e-09,1.27793624183766e-09
2.19411351367858e-07,0.000342280807951745,1.15869117369456e-10,2.24315476692951e-09,2.25264498288058e-09
2.73566218630582e-07,0.000426761902070442,1.80125106940937e-10,3.48334320824406e-09,3.50172390272821e-09
3.27721085893305e-07,0.000511242886851238,2.58498418268199e-10,4.99356674783579e-09,5.02513973582673e-09
3.81875953156029e-07,0.000595723762384979,3.50989032200057e-10,6.7729509057926e-09,6.82285921376862e-09
4.36030820418753e-07,0.00068020452876247,4.57596929562639e-10,8.82062164950889e-09,8.89484898583196e-09
5.75592881942809e-07,0.000897918712145131,7.97405171268258e-10,1.53281503979283e-08,1.54985021852907e-08
7.15154943466866e-07,0.00111563217271332,1.23097151177558e-09,2.35969253536791e-08,2.39229043353014e-08
8.54717004990923e-07,0.001333344911997,1.75829562403213e-09,3.36122285923927e-08,3.41674843979095e-08
9.9427906651498e-07,0.00155105693151754,2.3793771811112e-09,4.53594314767525e-08,4.62316703030623e-08
1.13384112803904e-06,0.00176876823277953,3.09421585746938e-09,5.88240734219967e-08,6.01148918295646e-08
1.27340318956309e-06,0.0019864788172706,3.90281132893716e-09,7.39918603787098e-08,7.58165805990331e-08
1.41296525108715e-06,0.00220418868646679,4.80516327189051e-09,9.0848611625813e-08,9.33361682005706e-08
1.55252731261121e-06,0.00242189784183517,5.80127136288231e-09,1.09380235880427e-07,1.12673085360668e-07
1.77992058085862e-06,0.00277661733333133,7.62509242500097e-09,1.43125919582995e-07,1.48070694130196e-07
2.00731384910604e-06,0.00313133493989629,9.69780855248199e-09,1.81221102181961e-07,1.88288851901999e-07
2.23470711735345e-06,0.00348605066768095,1.20194183565445e-08,2.23606791108894e-07,2.33325098589374e-07
2.58014062124983e-06,0.00402489635704941,1.60224063313403e-08,2.96074049373888e-07,3.10953085921311e-07
2.9255741251462e-06,0.00456373774571828,2.05997507562091e-08,3.78107915923933e-07,3.99685350812796e-07
3.27100762904257e-06,0.00510257485420006,2.5751446819713e-08,4.69512055299462e-07,4.99513288780001e-07
